Standard
Act CXVI of 1996
Govt. Decree 306/2010. (XII. 23.)
Govt. Decree 309/2014. (XII. 11.)
Govt. Decree 311/2005. (XII. 25.)
Govt. Decree 312/2012. (XI. 8.)
Govt. Decree 313/2012. (XI. 8.)
Govt. Decree 314/2005. (XII. 25.)
Govt. Decree 314/2012. (XI. 8.)
Govt. Decree 321/2010. (XII. 27.)
Govt. Decree 324/2013. (VIII. 29.)
Govt. Decree 343/2006. (XII. 23.)
Govt. Decree 346/2010. (XII. 28.)
Govt. Decree 347/2006. (XII. 23.)
Govt. Decree 348/2006. (XII. 23.)
Govt. Decree 365/2016. (XI. 29.)
Govt. Decree 375/2011. (XII. 31.)
Govt. Decree 382/2007. (XII. 23.)
Govt. Decree 382/2016. (XII. 2.)
Govt. Decree 413/2020. (VIII. 30.)
Govt. Deñree 458/2024. (XII. 30.)
Govt. Decree 482/2013. (XII. 17.)
Govt. Decree 487/2015. (XII. 30.)
Govt. Decree 488/2015. (XII. 30.)
Govt. Decree 489/2015. (XII. 30.)
Govt. Decree 490/2015. (XII. 30.)
Govt. Decree 491/2017. (XII. 29.)
Govt. Decision 1032/2007. (V. 15.)
Govt. Decision 1042/2012. (II. 23.)
Govt. Decision 1155/2016. (III. 31.)
Govt. Decision 1183/2011. (VI. 6.)
Govt. Decision 1195/2012. (VI. 18.)
Govt. Decision 1196/2012. (VI. 18.)
Govt. Decision 1242/2022. (IV. 28.)
Govt. Decision 1324/2011. (IX. 22.)
Govt. Decision 1459/2016. (VIII. 24.)
Govt. Decision 1573/2018. (XI. 15.)
Parliamentary Decision 21/2015. (V. 4.)
Parliamentary Decision 77/2011. (X. 14.)
Parliamentary Decision 97/2005. (XII. 25.)
Legislative Decree 6 of 1986
Legislative Decree 8 of 1987
Legislative Decree 9 of 1972
Legislative Decree 12 of 1970
Ministerial Decree 1/1975. (II. 5.) KPM-BM
Ministerial Decree 1/2016. (I. 5.) NGM
Ministerial Decree 2/1998. (I. 16.) M?M
Ministerial Decree 2/2013. (I. 22.) NGM
Ministerial Decree 2/2016. (I. 5.) NGM
Ministerial Decree 3/1998. (I. 12.)  IKIM
Ministerial Decree 3/2002. (II. 8.) SzCsM-E?M
